ar,aldur,eining,tegund,medaltal,tekjur
1996,16 - 24 ára,10,heildartekjur,2588.6076362722933,625.0798794272796
1996,16 - 24 ára,20,heildartekjur,2588.6076362722933,1045.331323787993
1996,16 - 24 ára,30,heildartekjur,2588.6076362722933,1416.1414217533281
1996,16 - 24 ára,40,heildartekjur,2588.6076362722933,1801.0776186887715
1996,16 - 24 ára,50,heildartekjur,2588.6076362722933,2207.202964079377
1996,16 - 24 ára,60,heildartekjur,2588.6076362722933,2570.9500125596583
1996,16 - 24 ára,70,heildartekjur,2588.6076362722933,3065.363476513439
1996,16 - 24 ára,80,heildartekjur,2588.6076362722933,3757.5423260487314
1996,16 - 24 ára,90,heildartekjur,2588.6076362722933,4908.819392112534
1996,16 - 24 ára,99,heildartekjur,2588.6076362722933,10043.656367746797
1997,16 - 24 ára,10,heildartekjur,2740.8501449811833,711.2332654698007
1997,16 - 24 ára,20,heildartekjur,2740.8501449811833,1137.973224751681
1997,16 - 24 ára,30,heildartekjur,2740.8501449811833,1536.957739527423
1997,16 - 24 ára,40,heildartekjur,2740.8501449811833,1939.411684866432
1997,16 - 24 ára,50,heildartekjur,2740.8501449811833,2341.8656302054414
1997,16 - 24 ára,60,heildartekjur,2740.8501449811833,2706.1558393485097
1997,16 - 24 ára,70,heildartekjur,2740.8501449811833,3223.100993275341
1997,16 - 24 ára,80,heildartekjur,2740.8501449811833,3965.5591338145473
1997,16 - 24 ára,90,heildartekjur,2740.8501449811833,5211.0847060275155
1997,16 - 24 ára,99,heildartekjur,2740.8501449811833,10144.614966993646
1998,16 - 24 ára,10,heildartekjur,3011.80536475155,804.9672322552274
1998,16 - 24 ára,20,heildartekjur,3011.80536475155,1248.3813856161578
1998,16 - 24 ára,30,heildartekjur,3011.80536475155,1667.9193922576535
1998,16 - 24 ára,40,heildartekjur,3011.80536475155,2094.2791551047017
1998,16 - 24 ára,50,heildartekjur,3011.80536475155,2486.5301369239864
1998,16 - 24 ára,60,heildartekjur,3011.80536475155,2926.53341218214
1998,16 - 24 ára,70,heildartekjur,3011.80536475155,3540.49147068189
1998,16 - 24 ára,80,heildartekjur,3011.80536475155,4342.047824834342
1998,16 - 24 ára,90,heildartekjur,3011.80536475155,5679.112041122685
1998,16 - 24 ára,99,heildartekjur,3011.80536475155,11143.338761770457
1999,16 - 24 ára,10,heildartekjur,3205.0365017112467,898.7318850159372
1999,16 - 24 ára,20,heildartekjur,3205.0365017112467,1371.2269569176983
1999,16 - 24 ára,30,heildartekjur,3205.0365017112467,1804.0720927158152
1999,16 - 24 ára,40,heildartekjur,3205.0365017112467,2213.7880991201396
1999,16 - 24 ára,50,heildartekjur,3205.0365017112467,2606.983298814612
1999,16 - 24 ára,60,heildartekjur,3205.0365017112467,3105.9116614521363
1999,16 - 24 ára,70,heildartekjur,3205.0365017112467,3750.2231231363558
1999,16 - 24 ára,80,heildartekjur,3205.0365017112467,4662.171653520175
1999,16 - 24 ára,90,heildartekjur,3205.0365017112467,6106.090159961221
1999,16 - 24 ára,99,heildartekjur,3205.0365017112467,11937.934928538902
2000,16 - 24 ára,10,heildartekjur,3409.242202014276,1008.6329464023802
2000,16 - 24 ára,20,heildartekjur,3409.242202014276,1527.0891338054728
2000,16 - 24 ára,30,heildartekjur,3409.242202014276,1966.991353420218
2000,16 - 24 ára,40,heildartekjur,3409.242202014276,2381.7563033426923
2000,16 - 24 ára,50,heildartekjur,3409.242202014276,2790.2369358420983
2000,16 - 24 ára,60,heildartekjur,3409.242202014276,3314.977440668259
